Time_s_Ex	Time_s_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	
7.868394e-002	5.640606e-001	-4.805777e+000	-5.165264e+000	-2.379662e+002	-2.557668e+002	-4.805777e+000	-5.165264e+000	-2.379662e+002	-2.557668e+002	
7.963193e-002	5.650086e-001	-4.881458e+000	-4.994980e+000	-2.417137e+002	-2.473349e+002	-4.881458e+000	-4.994980e+000	-2.417137e+002	-2.473349e+002	
8.057993e-002	5.659567e-001	-4.786856e+000	-5.070662e+000	-2.370293e+002	-2.510824e+002	-4.786856e+000	-5.070662e+000	-2.370293e+002	-2.510824e+002	
8.152793e-002	5.669047e-001	-4.635493e+000	-5.089582e+000	-2.295343e+002	-2.520193e+002	-4.635493e+000	-5.089582e+000	-2.295343e+002	-2.520193e+002	
8.247592e-002	5.678527e-001	-4.654414e+000	-5.032821e+000	-2.304712e+002	-2.492087e+002	-4.654414e+000	-5.032821e+000	-2.304712e+002	-2.492087e+002	
8.342392e-002	5.688007e-001	-4.881458e+000	-4.919299e+000	-2.417137e+002	-2.435874e+002	-4.881458e+000	-4.919299e+000	-2.417137e+002	-2.435874e+002	
8.437192e-002	5.697487e-001	-4.881458e+000	-5.108503e+000	-2.417137e+002	-2.529562e+002	-4.881458e+000	-5.108503e+000	-2.417137e+002	-2.529562e+002	
8.531991e-002	5.706967e-001	-5.013901e+000	-5.449069e+000	-2.482718e+002	-2.698199e+002	-5.013901e+000	-5.449069e+000	-2.482718e+002	-2.698199e+002	
8.626791e-002	5.716447e-001	-5.203104e+000	-4.919299e+000	-2.576406e+002	-2.435874e+002	-5.203104e+000	-4.919299e+000	-2.576406e+002	-2.435874e+002	
8.721591e-002	5.725927e-001	-4.957139e+000	-5.222025e+000	-2.454612e+002	-2.585775e+002	-4.957139e+000	-5.222025e+000	-2.454612e+002	-2.585775e+002	
8.816390e-002	5.735407e-001	-4.994980e+000	-4.843617e+000	-2.473349e+002	-2.398400e+002	-4.994980e+000	-4.843617e+000	-2.473349e+002	-2.398400e+002	
8.911190e-002	5.744888e-001	-5.032821e+000	-5.108503e+000	-2.492087e+002	-2.529562e+002	-5.032821e+000	-5.108503e+000	-2.492087e+002	-2.529562e+002	
9.005990e-002	5.754368e-001	-4.994980e+000	-5.032821e+000	-2.473349e+002	-2.492087e+002	-4.994980e+000	-5.032821e+000	-2.473349e+002	-2.492087e+002	
9.100790e-002	5.763848e-001	-4.805777e+000	-4.919299e+000	-2.379662e+002	-2.435874e+002	-4.805777e+000	-4.919299e+000	-2.379662e+002	-2.435874e+002	
